country,beer_servings,spirit_servings,wine_servings,Total Alcohol,Rainfall,Rainfall 2,unemployment rate,Population,GDP,Literacy,Temp,Region,Island
Haiti,1,326,1,5.9,1480.201134,58.27566667,6.900000095,10572029,8776370457,60.68935013,24.47507682,Caribbean,1
Honduras,69,98,2,3,1945.758033,76.60468834,6.596414013,7961680,19380958759,88.42458344,23.38608334,Latin America,0
Hungary,234,215,185,11.3,571.7549584,22.51004989,3.900000095,9866468,1.38E+11,99.38088226,10.06144773,Europe,0
Iceland,233,61,78,6.6,1039.821209,40.93786498,7.800000191,327386,17036097482,99,1.351408623,Europe,1
India,9,114,0,2.2,1072.217251,42.21330039,6.132670508,1295291543,2.04E+12,72.22530365,23.94543419,East Asia,0
Indonesia,5,1,0,0.1,2801.5352,110.296721,5.834347906,254454778,8.90E+11,95.43768311,25.71897008,Pacific,1
Iraq,9,3,0,0.2,196.3356628,7.729754678,6.199999809,35273293,2.24E+11,79.72176361,21.57999357,Middle East,0
Ireland,313,118,165,11.4,1110.628609,43.7255594,12.80000019,4617225,2.51E+11,99,9.107924359,Europe,1
Israel,63,69,9,2.5,248.6894455,9.790928338,11.60000038,8215700,3.06E+11,99,19.69800023,Middle East,0
Italy,85,42,237,6.5,930.1936173,36.62181573,12.4,60789140,2.14E+12,99.01579285,11.5006943,Europe,0
Jamaica,82,97,9,3.4,2114.184265,83.23564593,6.099999905,2720554,13927110142,88.49990082,24.46899986,Caribbean,1
Japan,77,202,16,7,1603.757153,63.14007949,12.5,127131800,4.60E+12,99,10.36272594,East Asia & Pacific,1
Jordan,6,21,1,0.5,102.305694,4.027785403,13.19999981,7416083,35826925775,98.01435089,18.35282849,Middle East,0
Kazakhstan,124,246,12,6.8,252.2649856,9.93169771,3.700000048,17289224,2.27E+11,99.78784943,5.987870514,Central Asia,0
Kenya,58,22,2,1.8,678.1129423,26.69737435,11.10000038,44863583,61395415492,78.02339935,24.49946529,Sub-Saharan Africa,0
Kiribati,21,34,1,1,630,24.803163,4.099999905,110470,166756805.5,55,27,Pacific,1
Kyrgyzstan,31,97,6,2.4,390.7214655,15.38274317,8,5835500,7468096567,99.50131989,1.093056123,Central Asia,0
Laos,62,0,123,6.2,1758.347404,69.22631313,3,6689300,11715619756,79.86746216,23.21746666,East Asia,0
Latvia,281,216,62,10.5,638.870309,25.15238795,6.543979026,1993782,31286809075,99.89269257,5.626625729,Europe,0
Lebanon,20,55,31,1.9,721.1124878,28.39027076,10,5612096,45730945274,94.05110168,15.61349988,Middle East,0
Lesotho,82,29,0,2.8,775.6671702,30.53809406,6.1263179,2109197,2181300506,79.3609314,11.97447515,Sub-Saharan Africa,0
Liberia,19,152,2,3.1,2460.080251,96.85360549,6.400000095,4396554,2013000000,47.60013962,25.2524195,North Africa,0
Lithuania,343,244,56,12.9,651.7216437,25.65834628,19.20000076,2932367,48353937110,99.82328033,6.244905105,Europe,0
Luxembourg,236,133,271,11.4,848.8059082,33.41757349,5.983757189,556319,64873963098,99,8.88189983,Europe,0
"Macedonia, FYR",106,27,86,3.9,632.5038341,24.9017392,24,577914,11318966947,97.84375763,9.853518182,Europe,0
Madagascar,26,15,4,0.8,1475.675992,58.09751137,1.5,23571713,11011062173,64.65630341,22.01356848,Sub-Saharan Africa,1
Malawi,8,11,1,1.5,1112.291003,43.79100802,27.89999962,16695253,6047813437,65.96382904,21.97876318,Sub-Saharan Africa,0
Malaysia,13,4,0,0.3,2992.793013,117.8265602,3.599999905,29901997,3.38E+11,94.63699341,25.13883809,East Asia & Pacific,0
Mali,5,1,1,0.6,303.0091447,11.92950033,2,17086022,14388384093,33.06887054,28.29987354,Sub-Saharan Africa,0
Malta,149,100,120,6.6,570,22.440957,11.60000038,427364,9642000000,94.06661224,18.8,Europe,1
Mauritius,98,31,18,2.6,1953.016846,76.89046853,7.5,1260934,12612959480,90.61604309,23.12700081,Sub-Saharan Africa,1
Mexico,238,68,5,5.5,738.1391283,29.0606113,31,125385833,1.30E+12,94.54559326,20.54469315,North America,0
Lithuania,5,35,16,1,651.7216437,25.65834628,8,19113728,45930000000,99.82328033,6.244905105,Europe,0
Micronesia,62,50,18,2.3,3062,120.5512462,12.76012593,104044,318071978.6,89,26,Pacific,1
Moldova,109,226,18,6.3,538.8927498,21.21626145,6.9,3556397,7983271111,99.2443924,9.667174936,Europe,0
Mongolia,77,189,8,4.9,227.2319384,8.946144138,3.400000095,2909871,12226514715,98.36763763,-0.49904369,East Asia,0
